collection_id,vm_id,name,value,aggregation,time_stamp
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,2387709.68,Maximum,2024-06-17 10:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6210715648.0,Maximum,2024-06-17 11:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5858394112.0,Maximum,2024-06-17 12:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-17 13:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-17 14:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,6311515.31,Maximum,2024-06-17 15:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4612430.59,Maximum,2024-06-17 16:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5852102656.0,Maximum,2024-06-17 17:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4423192.11,Maximum,2024-06-17 18:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-17 19:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,7.59,Maximum,2024-06-17 20:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5873074176.0,Maximum,2024-06-17 21:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4763499.86,Maximum,2024-06-17 22:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-17 23:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,5.64,Maximum,2024-06-18 00:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-18 01:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5866782720.0,Maximum,2024-06-18 02:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Percentage CPU,7.46,Maximum,2024-06-18 03:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1540143.18,Maximum,2024-06-18 04:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-18 05:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,5496869.82,Maximum,2024-06-18 06:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-18 07:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1343611.65,Maximum,2024-06-18 08:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6214909952.0,Maximum,2024-06-18 09:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6201278464.0,Maximum,2024-06-18 10:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6210715648.0,Maximum,2024-06-18 11:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Percentage CPU,7.32,Maximum,2024-06-18 12:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6165626880.0,Maximum,2024-06-18 13:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6199181312.0,Maximum,2024-06-18 14:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4604289.57,Maximum,2024-06-18 15:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-18 16:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6204424192.0,Maximum,2024-06-18 17:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1167558.33,Maximum,2024-06-18 18:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6209667072.0,Maximum,2024-06-18 19:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,5.05,Maximum,2024-06-18 20:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-18 21:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-18 22:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4731049.93,Maximum,2024-06-18 23:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6206521344.0,Maximum,2024-06-19 00:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Percentage CPU,7.46,Maximum,2024-06-19 01:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4493196.93,Maximum,2024-06-19 02:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-19 03:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-19 04:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-19 05:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-19 06:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-19 07:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Percentage CPU,7.48,Maximum,2024-06-19 08:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1118358.24,Maximum,2024-06-19 09:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-19 10:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-19 11:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-19 12:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1540003.84,Maximum,2024-06-19 13:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1126503.78,Maximum,2024-06-19 14:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5798625280.0,Maximum,2024-06-19 15:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-19 16:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5859442688.0,Maximum,2024-06-19 17:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Percentage CPU,7.7,Maximum,2024-06-19 18:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1564728.66,Maximum,2024-06-19 19:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6212812800.0,Maximum,2024-06-19 20:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-19 21:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5854199808.0,Maximum,2024-06-19 22:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6200229888.0,Maximum,2024-06-19 23:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,5.35,Maximum,2024-06-20 00:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1102002.06,Maximum,2024-06-20 01:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1699882.91,Maximum,2024-06-20 02:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-20 03:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6194987008.0,Maximum,2024-06-20 04:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6212812800.0,Maximum,2024-06-20 05:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-20 06:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4464446.16,Maximum,2024-06-20 07:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5866782720.0,Maximum,2024-06-20 08:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6222249984.0,Maximum,2024-06-20 09:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,131067.64,Maximum,2024-06-20 10:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5865734144.0,Maximum,2024-06-20 11:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6215958528.0,Maximum,2024-06-20 12:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-20 13:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1200350.62,Maximum,2024-06-20 14:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6158286848.0,Maximum,2024-06-20 15:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5853151232.0,Maximum,2024-06-20 16:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5847908352.0,Maximum,2024-06-20 17:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-20 18:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5875171328.0,Maximum,2024-06-20 19:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-20 20:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-20 21:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Percentage CPU,7.38,Maximum,2024-06-20 22:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-20 23:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,987249.1,Maximum,2024-06-21 00:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1454315.12,Maximum,2024-06-21 01:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Percentage CPU,7.58,Maximum,2024-06-21 02:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1134844.67,Maximum,2024-06-21 03:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6203375616.0,Maximum,2024-06-21 04:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-21 05:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,5734743.72,Maximum,2024-06-21 06:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-21 07:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4870102.49,Maximum,2024-06-21 08:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4726984.57,Maximum,2024-06-21 09:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1163284.0,Maximum,2024-06-21 10:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Percentage CPU,7.33,Maximum,2024-06-21 11:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1314752.34,Maximum,2024-06-21 12:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6205472768.0,Maximum,2024-06-21 13:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5837422592.0,Maximum,2024-06-21 14:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6212812800.0,Maximum,2024-06-21 15:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-21 16:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4608276.32,Maximum,2024-06-21 17:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-21 18:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,5.31,Maximum,2024-06-21 19:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5854199808.0,Maximum,2024-06-21 20:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5840568320.0,Maximum,2024-06-21 21:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Percentage CPU,7.32,Maximum,2024-06-21 22:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5844762624.0,Maximum,2024-06-21 23:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Percentage CPU,7.46,Maximum,2024-06-22 00:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,5215332.33,Maximum,2024-06-22 01:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-22 02:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,6893814.91,Maximum,2024-06-22 03:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6213861376.0,Maximum,2024-06-22 04:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,5148214.91,Maximum,2024-06-22 05:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-22 06:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,5426814.09,Maximum,2024-06-22 07:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,4.97,Maximum,2024-06-22 08:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,5.22,Maximum,2024-06-22 09:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6225395712.0,Maximum,2024-06-22 10:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Available Memory Bytes,6205472768.0,Maximum,2024-06-22 11:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1728497.27,Maximum,2024-06-22 12:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-22 13:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-22 14:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,5.35,Maximum,2024-06-22 15:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Write Bytes,1392871.23,Maximum,2024-06-22 16:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,5.15,Maximum,2024-06-22 17:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4771698.65,Maximum,2024-06-22 18:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,5.48,Maximum,2024-06-22 19:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4747378.86,Maximum,2024-06-22 20:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,5398687.51,Maximum,2024-06-22 21:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-22 22:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-22 23:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-23 00:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,5.15,Maximum,2024-06-23 01:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Available Memory Bytes,5855248384.0,Maximum,2024-06-23 02:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Percentage CPU,7.3,Maximum,2024-06-23 03:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Percentage CPU,5.07,Maximum,2024-06-23 04:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-23 05:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Write Bytes,4431971.09,Maximum,2024-06-23 06:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-cp,Disk Read Bytes,0.0,Maximum,2024-06-23 07:00:00
cf342d1d-2dc2-4647-a3ad-d84e19ffce1d,anton-cka-cks/K8s-worker,Disk Read Bytes,0.0,Maximum,2024-06-23 08:00:00
